time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1588266972.0,16.1,14.2,31.1,35.9,nan,4.09,30.0,0.0,4.08,0.0,nan,nan,0.0,nan,3.59,57.8,77.5,10.13,26.1,nan,nan,11.0
1588269066.0,16.1,14.2,30.9,36.5,nan,4.07,29.8,0.0,4.07,0.0,nan,nan,0.0,nan,3.58,58.1,76.8,10.48,27.3,nan,nan,11.0
1588269247.0,16.0,13.4,31.0,35.3,nan,4.03,29.7,0.0,4.04,0.0,nan,nan,0.0,nan,3.49,57.1,83.9,10.67,24.9,nan,nan,11.0
1588269635.0,16.0,14.0,31.1,36.8,nan,4.04,29.7,0.0,4.07,0.0,nan,nan,0.0,nan,3.38,58.1,81.9,8.66,27.8,nan,nan,11.0
1588271082.0,15.9,13.5,31.0,36.0,nan,3.97,29.5,0.0,3.99,0.0,nan,nan,0.0,nan,3.18,57.2,95.1,9.26,23.7,nan,nan,11.0
1588271550.0,15.9,13.9,30.7,35.2,nan,4.03,29.5,0.0,4.04,0.0,nan,nan,0.0,nan,3.56,57.5,76.7,10.34,23.4,nan,nan,11.0
1588278383.0,15.6,13.8,30.8,36.6,nan,3.99,28.9,0.0,4.02,0.0,nan,nan,0.0,nan,3.51,58.0,77.4,10.46,27.4,nan,nan,11.0
1588280416.0,15.6,13.0,30.8,35.3,nan,3.93,28.8,0.0,3.96,0.0,nan,nan,0.0,nan,3.33,56.6,85.9,10.66,26.1,nan,nan,11.0
1588280594.0,15.2,13.4,30.8,36.5,nan,3.92,28.8,0.0,3.96,0.0,nan,nan,0.0,nan,3.4,58.1,83.4,10.58,24.9,nan,nan,11.0
1588280774.0,14.8,12.9,31.0,36.2,nan,3.84,28.8,0.0,3.87,0.0,nan,nan,0.0,nan,3.13,57.6,85.2,8.54,28.1,nan,nan,11.0
1588280960.0,14.2,12.8,31.3,36.2,nan,3.81,28.8,0.0,3.83,0.0,nan,nan,0.0,nan,3.3,58.3,85.2,10.31,23.2,nan,nan,11.0
1588283745.0,13.4,12.3,34.4,37.8,nan,3.71,29.0,0.0,3.71,0.0,nan,nan,0.0,nan,3.31,61.2,71.7,9.52,22.8,nan,nan,11.0
1588283931.0,13.4,11.6,34.5,37.7,nan,3.64,29.1,0.0,3.64,0.0,nan,nan,0.0,nan,3.11,60.7,88.8,10.57,25.6,nan,nan,11.0
1588284114.0,13.4,12.3,34.5,38.1,nan,3.69,29.1,0.0,3.71,0.0,nan,nan,0.0,nan,3.32,61.4,71.6,9.96,21.7,nan,nan,11.0
1588284370.0,13.3,12.2,34.7,38.5,nan,3.69,29.1,0.0,3.69,0.0,nan,nan,0.0,nan,3.31,61.7,74.2,10.29,21.2,nan,nan,11.0
1588287411.0,13.5,12.1,35.0,38.0,nan,3.68,29.3,0.0,3.69,0.0,nan,nan,0.0,nan,3.23,61.2,79.0,10.39,23.8,nan,nan,11.0
