time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1588262427.0,12.7,9.9,26.6,30.2,nan,3.56,29.2,0.0,3.57,0.0,nan,nan,0.0,nan,2.4,56.1,157.1,9.7,42.3,nan,nan,13.5
1588262607.0,12.7,9.8,26.8,30.4,nan,3.57,29.2,0.0,3.57,0.0,nan,nan,0.0,nan,2.54,56.6,134.3,9.45,47.4,nan,nan,13.5
1588262786.0,12.7,9.9,26.7,30.4,nan,3.57,29.2,0.0,3.54,0.0,nan,nan,0.0,nan,2.54,56.7,132.6,9.62,44.6,nan,nan,13.5
1588263146.0,12.7,9.8,26.7,30.3,nan,3.57,29.2,0.0,3.57,0.0,nan,nan,0.0,nan,2.44,56.7,157.2,9.71,41.7,nan,nan,13.5
1588263327.0,12.7,9.8,26.8,30.5,nan,3.58,29.2,0.0,3.58,0.0,nan,nan,0.0,nan,2.52,56.8,143.8,9.51,49.1,nan,nan,13.5
1588263510.0,12.8,9.9,26.8,30.5,nan,3.57,29.2,0.0,3.57,0.0,nan,nan,0.0,nan,2.47,57.0,153.5,9.67,42.9,nan,nan,13.5
1588263692.0,12.8,9.9,26.9,30.6,nan,3.57,29.2,0.0,3.53,0.0,nan,nan,0.0,nan,2.57,57.1,140.2,9.47,42.3,nan,nan,13.5
1588263871.0,12.8,9.9,27.0,30.7,nan,3.62,29.2,0.0,3.59,0.0,nan,nan,0.0,nan,2.54,57.1,136.8,9.58,48.0,nan,nan,13.5
1588264053.0,12.8,10.0,27.1,30.8,nan,3.59,29.2,0.0,3.59,0.0,nan,nan,0.0,nan,2.55,57.2,142.3,9.6,50.1,nan,nan,13.5
1588264237.0,12.8,10.0,27.2,30.9,nan,3.57,29.2,0.0,3.57,0.0,nan,nan,0.0,nan,2.45,57.5,159.4,9.83,47.7,nan,nan,13.5
1588264417.0,12.8,10.0,27.2,30.9,nan,3.58,29.2,0.0,3.57,0.0,nan,nan,0.0,nan,2.5,57.5,155.7,9.75,42.3,nan,nan,13.5
1588264596.0,12.9,10.0,27.2,30.9,nan,3.59,29.2,0.0,3.59,0.0,nan,nan,0.0,nan,2.57,57.6,134.4,9.63,46.7,nan,nan,13.5
1588264818.0,12.8,10.0,27.2,30.9,nan,3.63,29.3,0.0,3.59,0.0,nan,nan,0.0,nan,2.57,57.5,134.2,9.72,44.7,nan,nan,13.5
1588265002.0,12.9,10.0,27.2,30.9,nan,3.61,29.3,0.0,3.58,0.0,nan,nan,0.0,nan,2.6,57.6,142.8,9.65,44.1,nan,nan,13.5
1588265182.0,12.9,10.0,27.3,31.0,nan,3.63,29.3,0.0,3.57,0.0,nan,nan,0.0,nan,2.57,57.6,140.9,9.65,49.9,nan,nan,13.5
1588265362.0,12.9,10.1,27.3,31.1,nan,3.58,29.3,0.0,3.59,0.0,nan,nan,0.0,nan,2.59,57.6,147.7,9.7,42.7,nan,nan,13.5
1588265542.0,12.9,9.9,27.3,31.0,nan,3.62,29.3,0.0,3.58,0.0,nan,nan,0.0,nan,2.51,57.6,134.0,9.75,50.0,nan,nan,13.5
1588265722.0,12.8,9.9,27.2,31.0,nan,3.59,29.3,0.0,3.59,0.0,nan,nan,0.0,nan,2.4,57.8,160.7,9.91,43.0,nan,nan,13.5
1588265902.0,12.9,10.0,27.3,31.0,nan,3.61,29.3,0.0,3.62,0.0,nan,nan,0.0,nan,2.56,57.5,142.8,9.72,50.8,nan,nan,13.5
1588266085.0,12.8,9.9,27.4,31.1,nan,3.61,29.3,0.0,3.59,0.0,nan,nan,0.0,nan,2.54,58.0,136.4,9.71,47.7,nan,nan,13.5
1588266263.0,12.9,10.3,27.5,31.2,nan,3.63,29.3,0.0,3.61,0.0,nan,nan,0.0,nan,2.51,57.7,160.0,9.97,44.1,nan,nan,13.5
1588266446.0,12.9,10.0,27.6,31.4,nan,3.57,29.3,0.0,3.58,0.0,nan,nan,0.0,nan,2.49,58.1,154.7,9.92,51.4,nan,nan,13.5
1588266625.0,12.9,10.1,27.7,31.3,nan,3.62,29.3,0.0,3.59,0.0,nan,nan,0.0,nan,2.57,57.3,130.8,9.88,43.3,nan,nan,13.5
1588266804.0,12.9,10.0,27.6,31.3,nan,3.59,29.3,0.0,3.58,0.0,nan,nan,0.0,nan,2.55,57.5,144.1,9.73,50.5,nan,nan,13.5
1588266986.0,12.9,10.1,27.6,31.4,nan,3.58,29.3,0.0,3.58,0.0,nan,nan,0.0,nan,2.49,58.1,158.9,9.95,47.4,nan,nan,13.5
1588267166.0,12.9,10.4,27.6,31.2,nan,3.59,29.3,0.0,3.61,0.0,nan,nan,0.0,nan,2.51,57.4,161.5,10.03,42.5,nan,nan,13.5
1588267355.0,12.9,10.2,27.5,31.2,nan,3.57,29.3,0.0,3.58,0.0,nan,nan,0.0,nan,2.46,57.6,161.1,10.0,51.8,nan,nan,13.5
1588267890.0,12.9,10.2,27.4,31.1,nan,3.59,29.3,0.0,3.58,0.0,nan,nan,0.0,nan,2.55,57.3,147.3,9.72,49.4,nan,nan,13.5
1588268070.0,12.9,10.3,27.4,31.1,nan,3.62,29.3,0.0,3.59,0.0,nan,nan,0.0,nan,2.65,57.4,137.8,9.56,45.0,nan,nan,13.5
1588268257.0,12.8,9.9,27.2,30.9,nan,3.58,29.3,0.0,3.59,0.0,nan,nan,0.0,nan,2.51,56.9,139.1,9.61,49.0,nan,nan,13.5
1588268477.0,12.8,9.9,27.1,30.8,nan,3.57,29.3,0.0,3.56,0.0,nan,nan,0.0,nan,2.54,57.7,136.3,9.6,46.1,nan,nan,13.5
1588268657.0,12.8,10.1,27.1,30.8,nan,3.61,29.3,0.0,3.59,0.0,nan,nan,0.0,nan,2.45,57.2,157.9,9.75,41.7,nan,nan,13.5
1588268837.0,12.7,9.9,27.1,30.8,nan,3.57,29.3,0.0,3.57,0.0,nan,nan,0.0,nan,2.52,57.7,145.7,9.63,50.0,nan,nan,13.5
1588269018.0,12.8,10.0,27.1,30.8,nan,3.58,29.3,0.0,3.58,0.0,nan,nan,0.0,nan,2.45,57.5,159.9,9.85,44.0,nan,nan,13.5
1588269201.0,12.7,10.0,27.1,30.8,nan,3.57,29.3,0.0,3.54,0.0,nan,nan,0.0,nan,2.49,57.4,153.3,9.75,42.4,nan,nan,13.5
1588269566.0,12.7,9.9,27.1,30.8,nan,3.57,29.3,0.0,3.54,0.0,nan,nan,0.0,nan,2.52,57.5,152.3,9.72,43.0,nan,nan,13.5
1588269740.0,12.6,9.8,26.9,30.5,nan,3.57,29.3,0.0,3.57,0.0,nan,nan,0.0,nan,2.51,57.2,136.1,9.52,48.9,nan,nan,13.5
1588269920.0,12.7,9.9,26.6,30.3,nan,3.57,29.3,0.0,3.56,0.0,nan,nan,0.0,nan,2.45,56.7,156.1,9.66,44.0,nan,nan,13.5
1588270101.0,12.6,9.8,26.4,30.1,nan,3.61,29.2,0.0,3.54,0.0,nan,nan,0.0,nan,2.56,56.5,135.5,9.4,46.6,nan,nan,13.5
1588270281.0,12.6,9.7,26.3,30.0,nan,3.56,29.2,0.0,3.56,0.0,nan,nan,0.0,nan,2.51,56.4,130.8,9.37,43.1,nan,nan,13.5
