time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1589558675,18.8,17.4,24.9,26.9,,5.09,29.3,0,5.08,0,,,0,,4.59,29.5,0,4.6,0,,,13
1589558676,18.8,17.4,24.9,26.9,,5.09,29.3,0,5.08,0,,,0,,4.59,29.5,0,4.6,0,,,13
1589558854,18.8,17.4,24.9,26.9,,5.06,29.3,0,5.08,0,,,0,,4.59,29.5,0,4.6,0,,,13
1589558854,18.8,17.4,24.9,26.9,,5.06,29.3,0,5.08,0,,,0,,4.59,29.5,0,4.6,0,,,13
1589559034,18.9,17.4,24.9,26.9,,5.06,29.3,0,5.09,0,,,0,,4.6,29.5,0,4.6,0,,,13
1589559034,18.9,17.4,24.9,26.9,,5.06,29.3,0,5.09,0,,,0,,4.6,29.5,0,4.6,0,,,13
1589559214,18.9,17.4,24.9,26.9,,5.09,29.3,0,5.11,0,,,0,,4.6,29.5,0,4.63,0,,,13
1589559214,18.9,17.4,24.9,26.9,,5.09,29.3,0,5.11,0,,,0,,4.6,29.5,0,4.63,0,,,13
1589559436,18.9,17.4,24.9,26.9,,5.06,29.3,0,5.1,0,,,0,,4.62,29.4,0,4.6,0,,,13
1589559437,18.9,17.4,24.9,26.9,,5.06,29.3,0,5.1,0,,,0,,4.62,29.4,0,4.6,0,,,13
1589559798,19,17.4,24.9,26.9,,5.09,29.3,0,5.09,0,,,0,,4.63,29.4,0,4.62,0,,,13
1589559799,19,17.4,24.9,26.9,,5.09,29.3,0,5.09,0,,,0,,4.63,29.4,0,4.62,0,,,13
1589559979,19,17.4,24.9,26.8,,5.11,29.3,0,5.09,0,,,0,,4.63,29.4,0,4.62,0,,,13
1589559980,19,17.4,24.9,26.8,,5.11,29.3,0,5.09,0,,,0,,4.63,29.4,0,4.62,0,,,13
1589560342,19.1,17.4,24.9,26.8,,5.11,29.2,0,5.1,0,,,0,,4.63,29.4,0,4.63,0,,,13
1589560343,19.1,17.4,24.9,26.8,,5.11,29.2,0,5.1,0,,,0,,4.63,29.4,0,4.63,0,,,13
1589560522,19.1,17.4,24.9,26.8,,5.11,29.2,0,5.11,0,,,0,,4.64,29.4,0,4.63,0,,,13
1589560523,19.1,17.4,24.9,26.8,,5.11,29.2,0,5.11,0,,,0,,4.64,29.4,0,4.63,0,,,13
1589560709,19.1,17.4,24.9,26.8,,5.13,29.2,0,5.11,0,,,0,,4.64,29.4,0,4.64,0,,,13
1589560709,19.1,17.4,24.9,26.8,,5.13,29.2,0,5.11,0,,,0,,4.64,29.4,0,4.64,0,,,13
1589560886,19.1,17.4,24.9,26.8,,5.14,29.2,0,5.11,0,,,0,,4.64,29.4,0,4.64,0,,,13
1589560887,19.1,17.4,24.9,26.8,,5.14,29.2,0,5.11,0,,,0,,4.64,29.4,0,4.64,0,,,13
1589561077,19.1,17.4,24.9,26.8,,5.13,29.2,0,5.11,0,,,0,,4.65,29.4,0,4.64,0,,,13
1589561078,19.1,17.4,24.9,26.8,,5.13,29.2,0,5.11,0,,,0,,4.65,29.4,0,4.64,0,,,13
1589561249,19.2,17.5,24.9,26.8,,5.13,29.2,0,5.11,0,,,0,,4.65,29.4,0,4.65,0,,,13
1589561249,19.2,17.5,24.9,26.8,,5.13,29.2,0,5.11,0,,,0,,4.65,29.4,0,4.65,0,,,13
1589561429,19.2,17.4,25,26.8,,5.1,29.2,0,5.11,0,,,0,,4.65,29.4,0,4.65,0,,,13
1589561430,19.2,17.4,25,26.8,,5.1,29.2,0,5.11,0,,,0,,4.65,29.4,0,4.65,0,,,13
1589561610,19.2,17.4,25,26.8,,5.13,29.2,0,5.14,0,,,0,,4.67,29.3,0,4.65,0,,,13
1589561611,19.2,17.4,25,26.8,,5.13,29.2,0,5.14,0,,,0,,4.67,29.3,0,4.65,0,,,13
1589561790,19.2,17.4,25,26.8,,5.14,29.1,0,5.13,0,,,0,,4.67,29.3,0,4.65,0,,,13
1589561791,19.2,17.4,25,26.8,,5.14,29.1,0,5.13,0,,,0,,4.67,29.3,0,4.65,0,,,13
1589561971,19.2,17.4,25,26.8,,5.13,29.1,0,5.14,0,,,0,,4.67,29.3,0,4.67,0,,,13
1589561972,19.2,17.4,25,26.8,,5.13,29.1,0,5.14,0,,,0,,4.67,29.3,0,4.67,0,,,13
1589562333,19.3,17.4,25,26.8,,5.11,29.1,0,5.14,0,,,0,,4.67,29.3,0,4.69,0,,,13
1589562333,19.3,17.4,25,26.8,,5.11,29.1,0,5.14,0,,,0,,4.67,29.3,0,4.69,0,,,13
1589562513,19.3,17.4,25,26.8,,5.13,29.1,0,5.13,0,,,0,,4.68,29.3,0,4.67,0,,,13
