time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1589126859,12.7,10.2,25.6,26.9,,2.57,58.6,108.7,8.09,55.9,,,0,,3.54,27.4,0,3.57,0,,,11
1589126859,12.7,10.2,25.6,26.9,,2.57,58.6,108.7,8.09,55.9,,,0,,3.54,27.4,0,3.57,0,,,11
1589127037,12.9,10.2,25.6,27.1,,2.42,58.8,112.9,8.1,58.6,,,0,,3.43,27.4,0,3.43,0,,,11
1589127038,12.9,10.2,25.6,27.1,,2.42,58.8,112.9,8.1,58.6,,,0,,3.43,27.4,0,3.43,0,,,11
1589127220,12.9,10.2,25.8,27.3,,2.57,59.3,120.3,8.43,63.2,,,0,,3.53,27.4,0,3.57,0,,,11
1589127220,12.9,10.2,25.8,27.3,,2.57,59.3,120.3,8.43,63.2,,,0,,3.53,27.4,0,3.57,0,,,11
1589127400,12.8,10.2,26,27.6,,2.52,58.5,126,8.6,66.5,,,0,,3.51,27.4,0,3.54,0,,,11
1589127401,12.8,10.2,26,27.6,,2.52,58.5,126,8.6,66.5,,,0,,3.51,27.4,0,3.54,0,,,11
1589127769,11.9,9.6,26.4,28.2,,2.5,57.8,150.4,9.19,84.4,,,0,,3.42,27.4,0,3.43,0,,,11
1589127769,11.9,9.6,26.4,28.2,,2.5,57.8,150.4,9.19,84.4,,,0,,3.42,27.4,0,3.43,0,,,11
1589127951,11.2,9.5,26.7,28.4,,2.7,55.6,152.5,9.05,85.2,,,0,,3.41,27.4,0,3.42,0,,,11
1589127951,11.2,9.5,26.7,28.4,,2.7,55.6,152.5,9.05,85.2,,,0,,3.41,27.4,0,3.42,0,,,11
1589128194,10.3,9.1,26.9,28.2,,2.81,51.2,113.3,7.48,55.5,,,0,,3.21,27.3,0,3.21,0,,,11
1589128194,10.3,9.1,26.9,28.2,,2.81,51.2,113.3,7.48,55.5,,,0,,3.21,27.3,0,3.21,0,,,11
1589128379,10.5,9.5,26.3,27.4,,2.98,49.4,99.1,7.12,49.7,,,0,,3.3,27.2,0,3.3,0,,,11
1589128379,10.5,9.5,26.3,27.4,,2.98,49.4,99.1,7.12,49.7,,,0,,3.3,27.2,0,3.3,0,,,11
1589128558,10.8,9.5,26,27.1,,2.35,54,102,7.87,51.1,,,0,,3.35,27.2,0,3.36,0,,,11
1589128558,10.8,9.5,26,27.1,,2.35,54,102,7.87,51.1,,,0,,3.35,27.2,0,3.36,0,,,11
1589128741,11.2,9.8,25.9,27,,2.73,53.3,102.5,7.83,51.8,,,0,,3.36,27.2,0,3.36,0,,,11
1589128741,11.2,9.8,25.9,27,,2.73,53.3,102.5,7.83,51.8,,,0,,3.36,27.2,0,3.36,0,,,11
1589128921,11.6,9.3,25.9,27.1,,2.52,56.7,103.2,7.93,52.7,,,0,,3.4,27.2,0,3.41,0,,,11
1589128921,11.6,9.3,25.9,27.1,,2.52,56.7,103.2,7.93,52.7,,,0,,3.4,27.2,0,3.41,0,,,11
1589129101,12.1,9.6,25.8,27.1,,2.51,58,104.2,7.98,52.9,,,0,,3.46,27.2,0,3.46,0,,,11
